"Запрос","URL","Тип","Намерение","Роль","Источник","Частотность_не_суммировать","География","Приоритет","Ограничение_назначения","Доказательство"
"заказать машину минивэн с водителем пермь","https://zakazminivena.ru/cities/perm","Города","Принять решение о заказе: Минивэн с водителем в Перми.","Ядро-кандидат","Вебмастер, архив 27.08","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/9f4f1549ddb42314.json"
"заказать минивэн симферополь","https://zakazminivena.ru/cities/simferopol","Города","Принять решение о заказе: Минивэн с водителем в Симферополе.","Ядро-кандидат","Wordstat · 2026-09-16","21","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/73.json"
"такси минивэн Симферополь","https://zakazminivena.ru/cities/simferopol","Города","Принять решение о заказе: Минивэн с водителем в Симферополе.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/10d6ed5a911dc96f.json"
"минивэн с водителем Симферополь","https://zakazminivena.ru/cities/simferopol","Города","Принять решение о заказе: Минивэн с водителем в Симферополе.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/10d6ed5a911dc96f.json"
"заказать минивэн ярославль","https://zakazminivena.ru/cities/yaroslavl","Города","Принять решение о заказе: Минивэн с водителем в Ярославле.","Ядро-кандидат","Wordstat · 2026-09-16","29","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/74.json"
"такси минивэн Ярославль","https://zakazminivena.ru/cities/yaroslavl","Города","Принять решение о заказе: Минивэн с водителем в Ярославле.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/3ee17eb4d3be5f97.json"
"минивэн с водителем Ярославль","https://zakazminivena.ru/cities/yaroslavl","Города","Принять решение о заказе: Минивэн с водителем в Ярославле.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/3ee17eb4d3be5f97.json"
"заказать минивэн минеральные воды","https://zakazminivena.ru/cities/mineralnye-vody","Города","Принять решение о заказе: Минивэн с водителем в Минеральных Водах.","Ядро-кандидат","Wordstat · 2026-09-16","13","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/75.json"
"такси минивэн минеральные воды","https://zakazminivena.ru/cities/mineralnye-vody","Города","Принять решение о заказе: Минивэн с водителем в Минеральных Водах.","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","1","Екатеринбург","P2","Явно назван город; маршрут/бренд в хвосте требуют ручной проверки; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-17.json"
"минивэн с водителем Минеральные Воды","https://zakazminivena.ru/cities/mineralnye-vody","Города","Принять решение о заказе: Минивэн с водителем в Минеральных Водах.","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/cbba3a1a79f38770.json"
"заказать минивэн минеральные воды с водителем","https://zakazminivena.ru/cities/mineralnye-vody","Города","Принять решение о заказе: Минивэн с водителем в Минеральных Водах.","Ядро-кандидат","Вебмастер, архив 27.08","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/cbba3a1a79f38770.json"
"минивэн шереметьево","https://zakazminivena.ru/airports/sheremetyevo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Шереметьево.","Пересечение","Wordstat · 2026-09-16","258","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/76.json"
"минивэн аэропорт Шереметьево","https://zakazminivena.ru/airports/sheremetyevo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Шереметьево.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/43b4e3076fa43fd1.json"
"трансфер Шереметьево на минивэне","https://zakazminivena.ru/airports/sheremetyevo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Шереметьево.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/43b4e3076fa43fd1.json"
"встреча с аэропорта шереметьево минивэн","https://zakazminivena.ru/airports/sheremetyevo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Шереметьево.","Пересечение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/43b4e3076fa43fd1.json"
"минивэн домодедово","https://zakazminivena.ru/airports/domodedovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Домодедово.","Пересечение","Wordstat · 2026-09-16","184","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/78.json"
"минивэн аэропорт Домодедово","https://zakazminivena.ru/airports/domodedovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Домодедово.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/5f0810ef344265e2.json"
"трансфер Домодедово на минивэне","https://zakazminivena.ru/airports/domodedovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Домодедово.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/5f0810ef344265e2.json"
"минивэн внуково","https://zakazminivena.ru/airports/vnukovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Внуково.","Пересечение","Wordstat · 2026-09-16","138","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/77.json"
"минивэн аэропорт Внуково","https://zakazminivena.ru/airports/vnukovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Внуково.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/72cfee2e24123fc4.json"
"трансфер Внуково на минивэне","https://zakazminivena.ru/airports/vnukovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Внуково.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/72cfee2e24123fc4.json"
"минивэн пулково","https://zakazminivena.ru/airports/pulkovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Пулково.","Пересечение","Wordstat · 2026-09-16","57","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/80.json"
"минивэн аэропорт Пулково","https://zakazminivena.ru/airports/pulkovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Пулково.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/8c48dfcb68f869af.json"
"трансфер Пулково на минивэне","https://zakazminivena.ru/airports/pulkovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Пулково.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/8c48dfcb68f869af.json"
"минивэн екатеринбург (кольцово)","https://zakazminivena.ru/airports/koltsovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Кольцово.","Пересечение","Wordstat · 2026-09-16","12","Россия","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/88.json"
"минивэн аэропорт Екатеринбург (Кольцово)","https://zakazminivena.ru/airports/koltsovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Кольцово.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/dc77f65376bbf267.json"
"трансфер Екатеринбург (Кольцово) на минивэне","https://zakazminivena.ru/airports/koltsovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Кольцово.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/dc77f65376bbf267.json"
"трансфер из кольцово минивэн","https://zakazminivena.ru/airports/koltsovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Кольцово.","Пересечение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/dc77f65376bbf267.json"
"Трансфер минивэн — аэропорт Курумоч","https://zakazminivena.ru/airports/kurumoch","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Курумоч.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a02ecce1eaca69d6.json"
"минивен в аэропорт курумо","https://zakazminivena.ru/airports/kurumoch","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Курумоч.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a02ecce1eaca69d6.json"
"минивэн аэропорт Сочи (Адлер)","https://zakazminivena.ru/airports/adler-airport","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Адлер.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/5a44028c760a37bb.json"
"трансфер Сочи (Адлер) на минивэне","https://zakazminivena.ru/airports/adler-airport","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Адлер.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/5a44028c760a37bb.json"
"минивэн аэропорт Краснодар","https://zakazminivena.ru/airports/pashkovskiy","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Пашковский.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/fc110bfc759f37a5.json"
"трансфер Краснодар на минивэне","https://zakazminivena.ru/airports/pashkovskiy","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Пашковский.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/fc110bfc759f37a5.json"
"Трансфер минивэн — аэропорт Платов","https://zakazminivena.ru/airports/platov","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Платов.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/277bcf3588f0341e.json"
"минивэн новосибирск (толмачёво)","https://zakazminivena.ru/airports/tolmachyovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Толмачёво.","Пересечение","Wordstat · 2026-09-16","6","Россия","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/89.json"
"минивэн аэропорт Новосибирск (Толмачёво)","https://zakazminivena.ru/airports/tolmachyovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Толмачёво.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/52c90debc1a7eba5.json"
"трансфер Новосибирск (Толмачёво) на минивэне","https://zakazminivena.ru/airports/tolmachyovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Толмачёво.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/52c90debc1a7eba5.json"
"трансфер из толмачево s7","https://zakazminivena.ru/airports/tolmachyovo","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Толмачёво.","Пересечение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/52c90debc1a7eba5.json"
"минивэн аэропорт Симферополь","https://zakazminivena.ru/airports/simferopol-airport","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Симферополь.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/7da5b4c9bfe3c5e0.json"
"трансфер Симферополь на минивэне","https://zakazminivena.ru/airports/simferopol-airport","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Симферополь.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/7da5b4c9bfe3c5e0.json"
"минивэн аэропорт Минеральные Воды","https://zakazminivena.ru/airports/mineralnye-vody-airport","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Минеральные Воды.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/711b72b77a7f851d.json"
"трансфер Минеральные Воды на минивэне","https://zakazminivena.ru/airports/mineralnye-vody-airport","Старые аэропорты","Принять решение о заказе: Трансфер минивэн — аэропорт Минеральные Воды.","Пересечение","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/711b72b77a7f851d.json"
"Минивэн vs Поезд: подробное сравнение для семей и групп","https://zakazminivena.ru/compare/miniven-vs-poezd","Сравнения","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/5a7a18686b55e3d6.json"
"Минивэн vs Автобус: что лучше для группы или семьи","https://zakazminivena.ru/compare/miniven-vs-avtobus","Сравнения","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/83b05837aea5b687.json"
"Минивэн vs BlaBlaCar: что безопаснее и надёжнее","https://zakazminivena.ru/compare/miniven-vs-blablacar","Сравнения","Ответ на вопрос выбора с переходом к подходящей поездке.","Поддержка","Предложение по содержанию","","География URL; частотность не измерена","P3","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/dba2aed2f3490ceb.json"
"Корпоративный транспорт на минивэне","https://zakazminivena.ru/b2b/corporate-transport","Для бизнеса","Принять решение о заказе: Корпоративный транспорт на минивэне.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/c9cb4ad1d71a7626.json"
"VIP-трансфер в аэропорт для бизнеса","https://zakazminivena.ru/b2b/airport-vip","Для бизнеса","Принять решение о заказе: VIP-трансфер в аэропорт для бизнеса.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/64572eb04b94e463.json"
"Трансфер на корпоративные мероприятия","https://zakazminivena.ru/b2b/events","Для бизнеса","Принять решение о заказе: Трансфер на корпоративные мероприятия.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/85a6b7b5f81f9aa1.json"
"развозка гостей и координатора","https://zakazminivena.ru/b2b/events","Для бизнеса","Принять решение о заказе: Трансфер на корпоративные мероприятия.","Расширение","Вебмастер, архив 27.08","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/85a6b7b5f81f9aa1.json"
"Вахтовые перевозки персонала","https://zakazminivena.ru/b2b/shift-workers","Для бизнеса","Принять решение о заказе: Вахтовые перевозки персонала.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/a618cfd3f1dbf9c2.json"
"Медицинский трансфер на минивэне","https://zakazminivena.ru/b2b/medical","Для бизнеса","Принять решение о заказе: Медицинский трансфер на минивэне.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/016baf9361d47f6a.json"
"Срочная доставка грузов до 500 кг","https://zakazminivena.ru/b2b/cargo","Для бизнеса","Принять решение о заказе: Срочная доставка грузов до 500 кг.","Расширение","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/721510561c6fd3c4.json"
"минивэн шереметьево","https://zakazminivena.ru/airport/svo","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Шереметьево ( SVO ).","Ядро-кандидат","Wordstat · 2026-09-16","258","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/76.json"
"минивэн аэропорт Шереметьево","https://zakazminivena.ru/airport/svo","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Шереметьево ( SVO ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/b2addb85bb09d39e.json"
"трансфер Шереметьево на минивэне","https://zakazminivena.ru/airport/svo","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Шереметьево ( SVO ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/b2addb85bb09d39e.json"
"заказать минивэн в аэропорт шереметьево","https://zakazminivena.ru/airport/svo","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Шереметьево ( SVO ).","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","39","Россия","P1","Именованный аэропорт; уточнить точку назначения; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-06.json"
"минивэн внуково","https://zakazminivena.ru/airport/vko","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Внуково ( VKO ).","Ядро-кандидат","Wordstat · 2026-09-16","138","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/77.json"
"минивэн аэропорт Внуково","https://zakazminivena.ru/airport/vko","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Внуково ( VKO ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/8fecaf8b2c795d99.json"
"трансфер Внуково на минивэне","https://zakazminivena.ru/airport/vko","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Внуково ( VKO ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/8fecaf8b2c795d99.json"
"заказ минивэна в аэропорт внуково","https://zakazminivena.ru/airport/vko","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Внуково ( VKO ).","Ядро-кандидат","Вебмастер, архив 27.08","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/8fecaf8b2c795d99.json"
"минивэн домодедово","https://zakazminivena.ru/airport/dme","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Домодедово ( DME ).","Ядро-кандидат","Wordstat · 2026-09-16","184","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/78.json"
"минивэн аэропорт домодедово","https://zakazminivena.ru/airport/dme","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Домодедово ( DME ).","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","74","Россия","P1","Именованный аэропорт; уточнить точку назначения; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-06.json"
"трансфер Домодедово на минивэне","https://zakazminivena.ru/airport/dme","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Домодедово ( DME ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/9f9f5ceaee6e2cf7.json"
"заказать минивэн в аэропорт домодедово","https://zakazminivena.ru/airport/dme","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Домодедово ( DME ).","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","13","Россия","P1","Именованный аэропорт; уточнить точку назначения; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-06.json"
"минивэн жуковский","https://zakazminivena.ru/airport/zia","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Жуковский ( ZIA ).","Ядро-кандидат","Wordstat · 2026-09-16","17","Россия","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/79.json"
"минивэн аэропорт Жуковский","https://zakazminivena.ru/airport/zia","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Жуковский ( ZIA ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/b7a1dafa99e25134.json"
"трансфер Жуковский на минивэне","https://zakazminivena.ru/airport/zia","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Жуковский ( ZIA ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/b7a1dafa99e25134.json"
"минивэн пулково","https://zakazminivena.ru/airport/led","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Пулково ( LED ).","Ядро-кандидат","Wordstat · 2026-09-16","57","Россия","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/wordstat/80.json"
"минивэн аэропорт Пулково","https://zakazminivena.ru/airport/led","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Пулково ( LED ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/bbefc4aad445b791.json"
"трансфер Пулково на минивэне","https://zakazminivena.ru/airport/led","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Пулково ( LED ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/bbefc4aad445b791.json"
"минивэн пулково заказать онлайн","https://zakazminivena.ru/airport/led","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Пулково ( LED ).","Ядро-кандидат","Вебмастер, архив 27.08","","География URL; частотность не измерена","P1","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/bbefc4aad445b791.json"
"минивэн аэропорт Сочи (Адлер)","https://zakazminivena.ru/airport/aer","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Сочи (Адлер) ( AER ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/758f8d52c6717d1d.json"
"трансфер Сочи (Адлер) на минивэне","https://zakazminivena.ru/airport/aer","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Сочи (Адлер) ( AER ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/758f8d52c6717d1d.json"
"минивэн аэропорт Минеральные Воды","https://zakazminivena.ru/airport/mrv","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Минеральные Воды ( MRV ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/5e334436dce84979.json"
"трансфер Минеральные Воды на минивэне","https://zakazminivena.ru/airport/mrv","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Минеральные Воды ( MRV ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/5e334436dce84979.json"
"минивэн аэропорт Анапа","https://zakazminivena.ru/airport/aaq","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Анапа ( AAQ ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/b6fe31716269dcba.json"
"трансфер Анапа на минивэне","https://zakazminivena.ru/airport/aaq","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Анапа ( AAQ ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/b6fe31716269dcba.json"
"минивэн аэропорт краснодар","https://zakazminivena.ru/airport/krr","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Краснодар ( KRR ).","Ядро-кандидат","Wordstat · наблюдаемая фраза 15.09","29","Россия","P2","Именованный аэропорт; уточнить точку назначения; назначение URL — гипотеза, не результат полной кластеризации SERP","evidence/wordstat-previous/wordstat-06.json"
"трансфер Краснодар на минивэне","https://zakazminivena.ru/airport/krr","Аэропорты","Принять решение о заказе: Минивэн в — встретим с табличкой, ждём при задержке рейса Краснодар ( KRR ).","Ядро-кандидат","Предложение по содержанию","","География URL; частотность не измерена","P2","Базовая фраза / предложение; не полная кластеризация выдачи","evidence/pages/541175095517af0f.json"
